# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1962688765
# chain_id=3
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzman_shift
-6.55758e+28,1,1.914e-16,1,1,0,1.87226e+29,0.229992,0.620856,0.149152,3.94772,80.7985
-1.81485e+28,1,3.59943e-16,5,31,0,5.24579e+28,0.229992,0.620856,0.149152,3.94772,81.5464
-5.04058e+27,1,6.77008e-16,1,1,0,1.45245e+28,0.229992,0.620856,0.149152,3.94772,82.2924
-1.41265e+27,1,1.26854e-15,1,1,0,4.03857e+27,0.229992,0.620856,0.149152,3.94772,83.033
-4.01579e+26,1,2.36162e-15,1,1,0,1.13388e+27,0.229992,0.620856,0.149152,3.94772,83.7654
-1.16142e+26,1,4.36068e-15,1,1,0,3.23062e+26,0.229992,0.620856,0.149152,3.94772,84.4877
-3.42421e+25,1,7.97711e-15,3,7,0,9.36767e+25,0.229992,0.620857,0.149152,3.94772,85.1988
-1.03038e+25,1,1.44472e-14,4,15,0,2.76973e+25,0.229992,0.620857,0.149152,3.94772,85.8981
-3.16649e+24,1,2.58938e-14,3,7,0,8.35973e+24,0.229992,0.620857,0.149152,3.94772,86.5851
-9.94059e+23,1,4.5921e-14,2,3,0,2.5772e+24,0.229992,0.620857,0.149152,3.94772,87.2597
-3.18775e+23,1,8.05789e-14,3,7,0,8.11703e+23,0.229992,0.620857,0.149152,3.94772,87.9219
-1.044e+23,1,1.39915e-13,1,1,0,2.61163e+23,0.229992,0.620857,0.149152,3.94772,88.5718
-3.49064e+22,1,2.40445e-13,1,1,0,8.5819e+22,0.229992,0.620857,0.149152,3.94772,89.2097
-1.19097e+22,1,4.0904e-13,1,1,0,2.87905e+22,0.229992,0.620857,0.149152,3.94772,89.8358
-4.14449e+21,1,6.89011e-13,2,3,0,9.8561e+21,0.229992,0.620857,0.149151,3.94772,90.4504
-1.47019e+21,1,1.14952e-12,1,1,0,3.44131e+21,0.229992,0.620857,0.149151,3.94772,91.0539
-5.31328e+20,1,1.90002e-12,5,31,0,1.22479e+21,0.229992,0.620857,0.149151,3.94772,91.6464
-1.95517e+20,1,3.11229e-12,1,1,0,4.44089e+20,0.229992,0.620857,0.149151,3.94772,92.2285
-7.32133e+19,1,5.0537e-12,1,1,0,1.63942e+20,0.229992,0.620857,0.149151,3.94772,92.8005
