# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=2071558051
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,scale
-1607.01,0.00933093,0.0338361,2,7,0,1609.69,0.199782,0.0519389,0.162793,0.430541,0.154944,3.5927
-1607.46,0.998825,0.00290769,10,1023,0,1608.64,0.22207,0.047613,0.168425,0.406144,0.155748,3.58193
-1607.18,0.999384,0.0055384,8,479,0,1609.35,0.219821,0.0413814,0.169517,0.42308,0.1462,3.58898
-1608.4,0.961197,0.0105048,7,255,0,1610.05,0.222519,0.033654,0.184904,0.415776,0.143147,3.61411
-1608.34,0.536936,0.0175995,5,47,0,1613.79,0.232975,0.0260757,0.1833,0.416689,0.140961,3.60137
-1608.69,0.9816,0.0080973,7,255,0,1610.5,0.227951,0.0311678,0.176074,0.429055,0.135751,3.59684
-1608.68,0.999674,0.0143716,7,127,0,1609.61,0.212119,0.0237929,0.193065,0.433461,0.137562,3.63837
-1607.88,0.990514,0.0266914,6,127,0,1610.78,0.231142,0.0334119,0.175432,0.420384,0.13963,3.59127
-1607.88,0.142785,0.0477794,1,3,0,1609.75,0.231142,0.0334119,0.175432,0.420384,0.13963,3.59127
-1608.15,0.999969,0.00705863,7,127,0,1608.84,0.230794,0.0353325,0.171288,0.419708,0.142878,3.58314
-1608.05,0.99638,0.0130154,7,127,0,1611.03,0.201537,0.038195,0.178945,0.429357,0.151967,3.62021
-1608.51,0.762829,0.0235137,6,63,0,1610.36,0.226892,0.0367738,0.169421,0.426075,0.140839,3.58353
-1607.81,0.992441,0.0215822,7,159,0,1610.45,0.204215,0.0527685,0.167387,0.408684,0.166945,3.59371
-1607.81,0.0278175,0.0380233,2,5,1,1610.21,0.204215,0.0527685,0.167387,0.408684,0.166945,3.59371
-1609.54,0.99953,0.00441779,5,31,0,1610.12,0.205167,0.0490073,0.168492,0.409451,0.167883,3.59475
-1610.41,0.983273,0.00797034,7,255,0,1613.6,0.214361,0.0402789,0.161841,0.446744,0.136775,3.58348
-1609.07,0.972255,0.0136138,7,127,0,1612.86,0.223395,0.0288873,0.19128,0.408674,0.147763,3.62237
-1610.33,0.997685,0.0223621,7,191,0,1611.71,0.242327,0.0109671,0.192903,0.433449,0.120354,3.61496
-1610.33,0.191882,0.0390373,1,3,0,1612.26,0.242327,0.0109671,0.192903,0.433449,0.120354,3.61496
-1613.28,0.927625,0.00770528,8,479,0,1615.85,0.213025,0.0163508,0.195606,0.439304,0.135714,3.64501
-1612.58,0.998928,0.0111498,2,7,0,1613.67,0.213018,0.0163302,0.195723,0.43942,0.135509,3.64498
-1610.57,0.980089,0.0193739,2,7,0,1612.97,0.212927,0.0164627,0.196105,0.439516,0.13499,3.64379
-1610.57,0.00365118,0.0317551,3,11,0,1612.81,0.212927,0.0164627,0.196105,0.439516,0.13499,3.64379
-1608.97,0.999782,0.00404355,7,127,0,1610.95,0.216565,0.0168447,0.195637,0.43911,0.131843,3.64068
-1610.46,0.949392,0.00700475,9,1023,0,1613.44,0.211658,0.0171602,0.188316,0.467327,0.11554,3.63559
-1612.6,0.866168,0.0105705,6,115,0,1614.89,0.21073,0.0167336,0.192066,0.460903,0.119567,3.64614
-1608.96,1,0.0128205,2,3,0,1612.55,0.209643,0.0166873,0.192772,0.461402,0.119496,3.64477
-1608.55,0.485956,0.0217497,7,255,0,1612.35,0.234511,0.0285756,0.184713,0.409627,0.142573,3.60446
-1609.44,0.999779,0.0100687,6,95,0,1611.25,0.225837,0.0305477,0.187858,0.413387,0.14237,3.61474
-1610.43,0.897709,0.0169665,8,255,0,1614.08,0.15472,0.0207023,0.187312,0.521488,0.115779,3.68759
-1609.99,0.778371,0.0220387,7,239,0,1612.74,0.173691,0.0315454,0.18278,0.474757,0.137226,3.65773
-1607.74,0.921243,0.0212708,7,191,0,1612.36,0.22273,0.0598636,0.152505,0.40076,0.164142,3.55326
-1608.22,0.866547,0.029102,7,159,0,1609.36,0.216423,0.0299816,0.176667,0.445256,0.131673,3.60792
-1608.26,0.285528,0.0347199,2,7,0,1608.61,0.216447,0.0295734,0.176718,0.445255,0.132007,3.60774
-1608.61,0.962725,0.0102131,8,383,0,1610.99,0.231203,0.0295515,0.187589,0.409226,0.142431,3.60979
-1608.41,0.999944,0.0154027,8,255,0,1609.33,0.24884,0.0319545,0.17961,0.394802,0.144793,3.57975
-1607.71,0.823619,0.025231,8,255,0,1609.88,0.173392,0.0585457,0.160289,0.447409,0.160365,3.611
-1609,0.987412,0.0270938,6,95,0,1609.63,0.168315,0.0694513,0.141301,0.458162,0.162771,3.58233
-1609,1.18923e-20,0.0426504,1,1,0,1614.43,0.168315,0.0694513,0.141301,0.458162,0.162771,3.58233
-1609.81,0.993139,0.00671194,5,31,0,1610.65,0.168874,0.0670704,0.141469,0.459943,0.162644,3.58278
-1612.81,0.966941,0.0107386,9,511,0,1616.34,0.22306,0.00280347,0.198198,0.465281,0.110658,3.64374
-1615.94,0.999905,0.0160791,5,31,0,1617.21,0.223803,0.00257659,0.193915,0.468117,0.111588,3.63705
-1620.45,0.407203,0.0258219,4,15,0,1621.02,0.223321,0.00242366,0.193844,0.468163,0.112248,3.63342
-1617.95,0.99785,0.0107496,6,127,0,1622.17,0.212409,0.00323504,0.211553,0.466289,0.106515,3.68276
-1614.93,0.996703,0.0171225,8,287,0,1619.61,0.256294,0.00307343,0.197765,0.421464,0.121404,3.6127
-1614.02,0.36669,0.0270468,4,31,0,1620.48,0.258904,0.00299192,0.195809,0.424147,0.118148,3.60627
