# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1332303752
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzman_shift
-1.81815e+104,1,4.26359e-54,5,31,0,4.87749e+104,0.107738,0.409193,0.253475,0.0175851,0.13949,0.0725188,0.159861,9.13545
-8.1101e+102,1,1.12565e-53,3,7,0,1.51236e+104,0.108182,0.40899,0.253349,0.0175763,0.139421,0.0724827,0.159861,10.9451
-2.25701e+102,1,2.93806e-53,4,15,0,6.47907e+102,0.108318,0.408927,0.25331,0.0175737,0.139399,0.0724717,0.159861,11.6895
-1.37983e+101,1,7.58311e-53,2,3,0,1.82722e+102,0.108569,0.408812,0.253239,0.0175687,0.13936,0.0724512,0.159861,13.3161
-3.42492e+100,1,1.93583e-52,3,7,0,1.08721e+101,0.10867,0.408766,0.25321,0.0175667,0.139344,0.072443,0.159861,14.1272
-2.71731e+99,1,4.889e-52,1,1,0,2.71301e+100,0.108829,0.408693,0.253165,0.0175636,0.139319,0.0724301,0.159861,15.6023
-6.08144e+98,1,1.22181e-51,1,1,0,2.12063e+99,0.108908,0.408657,0.253142,0.017562,0.139307,0.0724237,0.159861,16.4737
-6.01739e+97,1,3.02208e-51,1,1,0,4.74465e+98,0.109017,0.408607,0.253112,0.0175599,0.13929,0.0724148,0.159861,17.8203
-1.23562e+97,1,7.39987e-51,3,7,0,4.6688e+97,0.109081,0.408577,0.253093,0.0175586,0.13928,0.0724096,0.159861,18.7419
-1.4712e+96,1,1.79409e-50,2,3,0,9.55542e+96,0.109159,0.408542,0.253071,0.0175571,0.139268,0.0724033,0.159861,19.9808
-2.83686e+95,1,4.30778e-50,1,1,0,1.13813e+96,0.109212,0.408517,0.253056,0.017556,0.13926,0.072399,0.159861,20.939
-3.92338e+94,1,1.02455e-49,1,1,0,2.18582e+95,0.10927,0.408491,0.25304,0.0175549,0.139251,0.0723942,0.159861,22.0907
-7.29637e+93,1,2.41417e-49,1,1,0,3.03204e+94,0.109315,0.40847,0.253027,0.017554,0.139244,0.0723906,0.159861,23.0701
-1.13309e+93,1,5.63683e-49,2,3,0,5.62025e+93,0.10936,0.408449,0.253014,0.0175531,0.139236,0.0723869,0.159861,24.1544
-2.08512e+92,1,1.3044e-48,3,7,0,8.75754e+92,0.109398,0.408432,0.253003,0.0175524,0.13923,0.0723838,0.159861,25.1398
-3.53144e+91,1,2.99208e-48,1,1,0,1.60836e+92,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,26.1737
-3.53144e+91,0,2.72179e-47,0,1,1,3.53144e+91,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,26.1737
-3.53144e+91,0,6.35554e-47,0,1,1,3.53144e+91,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,26.1737
-2.42382e+91,1,6.26652e-48,1,1,0,3.37122e+91,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,26.3928
-8.84492e+90,1,6.52661e-48,2,3,0,2.31755e+91,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,26.9798
-7.25352e+90,1,8.82763e-48,1,1,0,8.709e+90,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,27.0953
-4.85196e+90,1,1.3805e-47,1,1,0,6.88819e+90,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,27.3294
-2.18851e+90,1,2.34992e-47,2,3,0,4.2262e+90,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,27.7929
-6.63155e+89,1,4.20504e-47,3,7,0,1.77142e+90,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,28.4881
-1.82603e+89,1,7.74304e-47,3,7,0,5.29796e+89,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,29.2391
-4.94279e+88,1,1.44731e-46,2,3,0,1.45577e+89,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,29.9999
-1.32482e+88,1,2.72179e-46,1,1,0,3.93597e+88,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,30.7666
-3.56525e+87,1,5.11934e-46,1,1,0,1.0555e+88,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,31.5308
