# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=245980141
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,scale
-385.447,0.924046,0.0297554,7,255,0,388.543,0.0111531,0.505342,0.183845,0.29966,0.895942
-385.152,0.874958,0.0392874,5,47,0,386.208,0.0116172,0.501987,0.183087,0.303309,0.895959
-381.501,0.999926,0.0466678,7,143,0,385.719,0.134297,0.456955,0.135958,0.27279,0.900158
-382.048,0.217252,0.0717582,1,3,0,382.9,0.134015,0.455704,0.135128,0.275153,0.900098
-381.482,0.970288,0.0217399,6,95,0,383.325,0.145112,0.462559,0.126646,0.265682,0.90001
-382.252,0.95654,0.0314289,6,127,0,384.27,0.150806,0.470188,0.114245,0.264761,0.898658
-381.478,0.974979,0.0440033,6,127,0,383.393,0.0839062,0.479726,0.167209,0.269159,0.900718
-381.478,0.0728185,0.0637433,1,3,0,383.566,0.0839062,0.479726,0.167209,0.269159,0.900718
-381.606,0.998132,0.0147702,7,215,0,383.648,0.12606,0.483446,0.124018,0.266475,0.897412
-382.166,0.990472,0.0224555,7,127,0,383.922,0.199284,0.42102,0.145196,0.2345,0.908517
-382.6,0.998284,0.0334762,5,31,0,382.799,0.201988,0.424322,0.143937,0.229754,0.909124
-384.983,0.149718,0.050488,7,127,0,389.226,0.0864636,0.41906,0.228358,0.266118,0.91104
-384.206,0.998062,0.0140405,8,383,0,386.63,0.201922,0.455272,0.0878862,0.25492,0.898369
-382.591,0.998517,0.021168,8,255,0,385.633,0.0706942,0.485286,0.18292,0.2611,0.902419
-383.909,0.998912,0.0318147,6,127,0,385.69,0.0359849,0.518334,0.147913,0.297768,0.893128
-386.035,0.843981,0.0476652,4,15,0,386.414,0.0374283,0.503052,0.15211,0.307409,0.892645
-387.955,0.950145,0.0525885,6,127,0,390.041,0.0183118,0.579915,0.118448,0.283325,0.886645
-387.955,5.63868e-07,0.0712276,1,1,0,388.478,0.0183118,0.579915,0.118448,0.283325,0.886645
-388.509,0.992338,0.0153441,3,7,0,388.688,0.0182966,0.579662,0.118578,0.283463,0.88655
-383.6,0.990674,0.0226014,8,255,0,389.956,0.13333,0.413933,0.189822,0.262915,0.909801
-385.519,0.880197,0.0330665,5,31,0,388.714,0.12394,0.393492,0.215261,0.267307,0.912061
-382.234,0.535065,0.0390559,6,63,0,388.721,0.129542,0.462938,0.166826,0.240694,0.906252
-381.345,0.999529,0.0239288,6,127,0,384.124,0.111761,0.477328,0.159497,0.251415,0.902913
-380.883,0.99715,0.0354037,6,115,0,382.589,0.140452,0.440767,0.166894,0.251887,0.906477
